time, Quad.Est.E.Pos, Quad.Est.S.Z
2.240020,0.139275,0.201994
2.245020,0.139085,0.202220
2.250019,0.138989,0.202371
2.255019,0.138830,0.202598
2.260019,0.138845,0.202751
2.265018,0.138710,0.202981
2.270018,0.138627,0.203135
2.275017,0.138511,0.203367
2.280017,0.138290,0.203523
2.285017,0.138130,0.203758
2.290016,0.137934,0.203915
2.295016,0.137729,0.204153
2.300016,0.137752,0.204312
2.305015,0.257921,0.199295
2.310015,0.258224,0.199441
2.315015,0.258453,0.199661
2.320014,0.258669,0.199809
2.325014,0.258904,0.200031
2.330014,0.259054,0.200180
2.335013,0.259298,0.200405
2.340013,0.259465,0.200556
2.345012,0.259668,0.200783
2.350012,0.259809,0.200935
2.355012,0.260004,0.201165
2.360011,0.260142,0.201318
2.365011,0.260322,0.201550
2.370011,0.260392,0.201706
2.375010,0.260544,0.201940
2.380010,0.260678,0.202097
2.385010,0.260824,0.202334
2.390009,0.261101,0.202492
2.395009,0.261257,0.202731
2.400008,0.261384,0.202892
2.405008,0.211507,0.197949
2.410008,0.211646,0.198097
2.415007,0.211856,0.198319
2.420007,0.212026,0.198467
2.425007,0.212138,0.198692
2.430006,0.212151,0.198842
2.435006,0.212233,0.199069
2.440006,0.212288,0.199220
2.445005,0.212344,0.199449
2.450005,0.212329,0.199603
2.455004,0.212312,0.199834
2.460004,0.212341,0.199989
2.465004,0.212356,0.200223
2.470003,0.212367,0.200380
2.475003,0.212354,0.200616
2.480003,0.212371,0.200774
2.485002,0.212361,0.201013
2.490002,0.212219,0.201172
2.495002,0.212133,0.201413
2.500001,0.212097,0.201575
2.505001,0.164983,0.196700
2.510000,0.165045,0.196848
2.515000,0.164782,0.197072
2.520000,0.164515,0.197222
2.524999,0.164207,0.197448
2.529999,0.164076,0.197600
2.534999,0.163655,0.197828
2.539998,0.163338,0.197981
2.544998,0.162854,0.198212
2.549998,0.162500,0.198366
2.554997,0.161955,0.198599
2.559997,0.161556,0.198756
2.564996,0.160966,0.198991
2.569996,0.160460,0.199149
2.574996,0.159814,0.199387
2.579995,0.159683,0.199546
2.584995,0.159063,0.199787
2.589995,0.158622,0.199948
2.594994,0.157984,0.200191
2.599994,0.157445,0.200353
2.604994,0.222731,0.195539
2.609993,0.222479,0.195689
2.614993,0.222137,0.195914
2.619992,0.221964,0.196065
2.624992,0.221616,0.196293
2.629992,0.221314,0.196446
2.634991,0.220973,0.196676
2.639991,0.220731,0.196830
2.644991,0.220411,0.197062
2.649990,0.220139,0.197218
2.654990,0.219725,0.197453
2.659990,0.219539,0.197610
2.664989,0.219115,0.197848
